"Plot Title: 20415922"
"#","Date Time, GMT+10:00","Temp, °C (LGR S/N: 20415922, SEN S/N: 20415922)","Intensity, Lux (LGR S/N: 20415922, SEN S/N: 20415922)","Coupler Attached (LGR S/N: 20415922)","Coupler Detached (LGR S/N: 20415922)","Host Connected (LGR S/N: 20415922)","Stopped (LGR S/N: 20415922)","End Of File (LGR S/N: 20415922)"
279,07/23/19 11:00:00 PM,29.853,0.0,,,,,
280,07/24/19 12:00:00 AM,29.853,0.0,,,,,
281,07/24/19 01:00:00 AM,29.752,0.0,,,,,
282,07/24/19 02:00:00 AM,29.752,0.0,,,,,
283,07/24/19 03:00:00 AM,29.752,0.0,,,,,
284,07/24/19 04:00:00 AM,29.853,0.0,,,,,
285,07/24/19 05:00:00 AM,29.752,0.0,,,,,
286,07/24/19 06:00:00 AM,29.752,86.1,,,,,
287,07/24/19 07:00:00 AM,29.853,1173.3,,,,,
288,07/24/19 08:00:00 AM,30.154,10677.8,,,,,
289,07/24/19 09:00:00 AM,30.255,9644.5,,,,,
290,07/24/19 10:00:00 AM,30.154,4477.8,,,,,
291,07/24/19 11:00:00 AM,30.255,5338.9,,,,,
292,07/24/19 12:00:00 PM,30.255,6200.0,,,,,
293,07/24/19 01:00:00 PM,30.054,3100.0,,,,,
294,07/24/19 02:00:00 PM,30.054,2755.6,,,,,
295,07/24/19 03:00:00 PM,30.054,3616.7,,,,,
296,07/24/19 04:00:00 PM,30.054,3100.0,,,,,
297,07/24/19 05:00:00 PM,29.953,3100.0,,,,,
298,07/24/19 06:00:00 PM,29.853,1377.8,,,,,
299,07/24/19 07:00:00 PM,29.853,0.0,,,,,
300,07/24/19 08:00:00 PM,29.853,0.0,,,,,
301,07/24/19 09:00:00 PM,29.752,0.0,,,,,
302,07/24/19 10:00:00 PM,29.853,0.0,,,,,
303,07/24/19 11:00:00 PM,29.853,0.0,,,,,
304,07/25/19 12:00:00 AM,29.752,0.0,,,,,
305,07/25/19 01:00:00 AM,29.752,0.0,,,,,
306,07/25/19 02:00:00 AM,29.752,0.0,,,,,
307,07/25/19 03:00:00 AM,29.752,0.0,,,,,
308,07/25/19 04:00:00 AM,29.752,0.0,,,,,
309,07/25/19 05:00:00 AM,29.752,0.0,,,,,
310,07/25/19 06:00:00 AM,29.752,129.2,,,,,
311,07/25/19 07:00:00 AM,29.853,5511.1,,,,,
312,07/25/19 08:00:00 AM,30.154,10677.8,,,,,
313,07/25/19 09:00:00 AM,30.457,23422.4,,,,,
314,07/25/19 10:00:00 AM,30.659,49600.3,,,,,
315,07/25/19 11:00:00 AM,31.268,17911.2,,,,,
316,07/25/19 12:00:00 PM,31.472,110223.0,,,,,
317,07/25/19 01:00:00 PM,31.574,27555.7,,,,,
318,07/25/19 02:00:00 PM,31.472,88178.4,,,,,
319,07/25/19 03:00:00 PM,31.370,21355.7,,,,,
320,07/25/19 04:00:00 PM,31.166,7233.4,,,,,
321,07/25/19 05:00:00 PM,31.166,10677.8,,,,,
322,07/25/19 06:00:00 PM,31.268,4994.5,,,,,
323,07/25/19 07:00:00 PM,30.862,10.8,,,,,
324,07/25/19 08:00:00 PM,30.558,0.0,,,,,
325,07/25/19 09:00:00 PM,30.356,0.0,,,,,
326,07/25/19 10:00:00 PM,30.356,0.0,,,,,
327,07/25/19 11:00:00 PM,30.356,0.0,,,,,
328,07/26/19 12:00:00 AM,30.255,0.0,,,,,
329,07/26/19 01:00:00 AM,30.154,0.0,,,,,
330,07/26/19 02:00:00 AM,30.255,0.0,,,,,
331,07/26/19 03:00:00 AM,30.255,0.0,,,,,
332,07/26/19 04:00:00 AM,30.255,0.0,,,,,
333,07/26/19 05:00:00 AM,30.255,0.0,,,,,
334,07/26/19 06:00:00 AM,30.255,53.8,,,,,
335,07/26/19 07:00:00 AM,30.255,1065.6,,,,,
336,07/26/19 08:00:00 AM,30.356,5338.9,,,,,
337,07/26/19 09:00:00 AM,30.862,42711.4,,,,,
338,07/26/19 10:00:00 AM,31.370,28933.5,,,,,
339,07/26/19 11:00:00 AM,31.778,57867.0,,,,,
340,07/26/19 12:00:00 PM,31.880,33066.9,,,,,
341,07/26/19 01:00:00 PM,30.558,3961.1,,,,,
342,07/26/19 02:00:00 PM,30.457,4133.4,,,,,
343,07/26/19 03:00:00 PM,30.558,13089.0,,,,,
344,07/26/19 04:00:00 PM,31.064,15844.5,,,,,
345,07/26/19 05:00:00 PM,30.760,5338.9,,,,,
346,07/26/19 06:00:00 PM,30.255,2755.6,,,,,
347,07/26/19 07:00:00 PM,30.154,21.5,,,,,
348,07/26/19 08:00:00 PM,30.154,0.0,,,,,
349,07/26/19 09:00:00 PM,30.255,0.0,,,,,
350,07/26/19 10:00:00 PM,30.154,0.0,,,,,
351,07/26/19 11:00:00 PM,30.054,0.0,,,,,
352,07/27/19 12:00:00 AM,29.953,0.0,,,,,
353,07/27/19 01:00:00 AM,30.054,0.0,,,,,
354,07/27/19 02:00:00 AM,29.953,0.0,,,,,
355,07/27/19 03:00:00 AM,29.953,0.0,,,,,
356,07/27/19 04:00:00 AM,29.953,0.0,,,,,
357,07/27/19 05:00:00 AM,30.054,0.0,,,,,
358,07/27/19 06:00:00 AM,30.054,53.8,,,,,
359,07/27/19 07:00:00 AM,30.154,3616.7,,,,,
360,07/27/19 08:00:00 AM,30.659,12400.1,,,,,
361,07/27/19 09:00:00 AM,31.064,41333.6,,,,,
362,07/27/19 10:00:00 AM,31.064,19977.9,,,,,
363,07/27/19 11:00:00 AM,31.880,34444.7,,,,,
364,07/27/19 12:00:00 PM,31.268,17911.2,,,,,
365,07/27/19 01:00:00 PM,30.659,12400.1,,,,,
366,07/27/19 02:00:00 PM,31.166,38578.0,,,,,
367,07/27/19 03:00:00 PM,30.558,7233.4,,,,,
368,07/27/19 04:00:00 PM,30.255,2583.4,,,,,
369,07/27/19 05:00:00 PM,30.356,3616.7,,,,,
370,07/27/19 06:00:00 PM,30.356,5511.1,,,,,
371,07/27/19 07:00:00 PM,30.154,0.0,,,,,
372,07/27/19 08:00:00 PM,30.154,0.0,,,,,
373,07/27/19 09:00:00 PM,30.154,0.0,,,,,
374,07/27/19 10:00:00 PM,30.054,0.0,,,,,
375,07/27/19 11:00:00 PM,30.154,0.0,,,,,
376,07/28/19 12:00:00 AM,30.154,0.0,,,,,
377,07/28/19 01:00:00 AM,30.054,0.0,,,,,
378,07/28/19 02:00:00 AM,29.953,0.0,,,,,
379,07/28/19 03:00:00 AM,29.752,0.0,,,,,
380,07/28/19 04:00:00 AM,29.652,0.0,,,,,
381,07/28/19 05:00:00 AM,29.752,0.0,,,,,
382,07/28/19 06:00:00 AM,29.953,21.5,,,,,
383,07/28/19 07:00:00 AM,30.054,3272.2,,,,,
384,07/28/19 08:00:00 AM,30.356,8611.2,,,,,
385,07/28/19 09:00:00 AM,30.558,13089.0,,,,,
