Plot Title: Agat LL (20154265),,,,,,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20154265, SEN S/N: 20154265)","Intensity, Lux (LGR S/N: 20154265, SEN S/N: 20154265)",Coupler Attached (LGR S/N: 20154265),Coupler Detached (LGR S/N: 20154265),Stopped (LGR S/N: 20154265),End Of File (LGR S/N: 20154265)
298,12/6/2017 11:30,29.853,15155.7,,,,
299,12/6/2017 11:40,30.054,31689.1,,,,
300,12/6/2017 11:50,30.154,16533.4,,,,
301,12/6/2017 12:00,30.054,8611.2,,,,
302,12/6/2017 12:10,30.054,14466.8,,,,
303,12/6/2017 12:20,30.054,5166.7,,,,
304,12/6/2017 12:30,29.853,9644.5,,,,
305,12/6/2017 12:40,30.659,28933.5,,,,
306,12/6/2017 12:50,30.356,12400.1,,,,
307,12/6/2017 13:00,30.457,21355.7,,,,
308,12/6/2017 13:10,30.154,22044.6,,,,
309,12/6/2017 13:20,30.154,26178,,,,
310,12/6/2017 13:30,30.558,71644.9,,,,
311,12/6/2017 13:40,30.054,9644.5,,,,
312,12/6/2017 13:50,30.154,21355.7,,,,
313,12/6/2017 14:00,30.255,28933.5,,,,
314,12/6/2017 14:10,30.659,35822.5,,,,
315,12/6/2017 14:20,30.356,30311.3,,,,
316,12/6/2017 14:30,30.255,10333.4,,,,
317,12/6/2017 14:40,30.558,8266.7,,,,
318,12/6/2017 14:50,30.255,9300.1,,,,
319,12/6/2017 15:00,30.255,5166.7,,,,
320,12/6/2017 15:10,30.558,18600.1,,,,
321,12/6/2017 15:20,30.558,19289,,,,
322,12/6/2017 15:30,30.356,6544.5,,,,
323,12/6/2017 15:40,30.457,10677.8,,,,
324,12/6/2017 15:50,30.457,3272.2,,,,
325,12/6/2017 16:00,30.558,7577.8,,,,
326,12/6/2017 16:10,30.558,9300.1,,,,
327,12/6/2017 16:20,30.558,11022.3,,,,
328,12/6/2017 16:30,30.457,5511.1,,,,
329,12/6/2017 16:40,30.356,3788.9,,,,
330,12/6/2017 16:50,30.356,3444.5,,,,
331,12/6/2017 17:00,30.356,2927.8,,,,
332,12/6/2017 17:10,30.356,2238.9,,,,
333,12/6/2017 17:20,30.356,1980.6,,,,
334,12/6/2017 17:30,30.356,1119.5,,,,
335,12/6/2017 17:40,30.356,602.8,,,,
336,12/6/2017 17:50,30.356,204.5,,,,
337,12/6/2017 18:00,30.356,43.1,,,,
338,12/6/2017 18:10,30.255,0,,,,
339,12/6/2017 18:20,30.154,0,,,,
340,12/6/2017 18:30,29.953,0,,,,
341,12/6/2017 18:40,29.652,0,,,,
342,12/6/2017 18:50,29.452,0,,,,
343,12/6/2017 19:00,29.352,0,,,,
344,12/6/2017 19:10,29.252,0,,,,
345,12/6/2017 19:20,29.252,0,,,,
346,12/6/2017 19:30,29.252,0,,,,
347,12/6/2017 19:40,29.152,0,,,,
348,12/6/2017 19:50,29.152,0,,,,
349,12/6/2017 20:00,29.152,0,,,,
350,12/6/2017 20:10,29.152,0,,,,
351,12/6/2017 20:20,29.152,0,,,,
352,12/6/2017 20:30,29.152,0,,,,
353,12/6/2017 20:40,29.152,0,,,,
354,12/6/2017 20:50,29.152,0,,,,
355,12/6/2017 21:00,29.252,0,,,,
356,12/6/2017 21:10,29.252,0,,,,
357,12/6/2017 21:20,29.252,0,,,,
358,12/6/2017 21:30,29.252,0,,,,
359,12/6/2017 21:40,29.252,0,,,,
360,12/6/2017 21:50,29.252,0,,,,
361,12/6/2017 22:00,29.252,0,,,,
